2019-04-10 17:06:18.815 [main-SendThread(127.0.0.1:2182)] INFO  org.apache.zookeeper.ClientCnxn - Opening socket connection to server 127.0.0.1/127.0.0.1:2182. Will not attempt to authenticate using SASL (unknown error)
2019-04-10 17:06:18.981 [main-SendThread(127.0.0.1:2182)] INFO  org.apache.zookeeper.ClientCnxn - Client session timed out, have not heard from server in 166ms for sessionid 0x0, closing socket connection and attempting reconnect
2019-04-10 17:06:20.081 [main-SendThread(127.0.0.1:2183)] INFO  org.apache.zookeeper.ClientCnxn - Opening socket connection to server 127.0.0.1/127.0.0.1:2183. Will not attempt to authenticate using SASL (unknown error)
2019-04-10 17:06:20.248 [main-SendThread(127.0.0.1:2183)] INFO  org.apache.zookeeper.ClientCnxn - Client session timed out, have not heard from server in 1167ms for sessionid 0x0, closing socket connection and attempting reconnect
2019-04-10 17:06:20.349 [main-SendThread(127.0.0.1:2181)] INFO  org.apache.zookeeper.ClientCnxn - Opening socket connection to server 127.0.0.1/127.0.0.1:2181. Will not attempt to authenticate using SASL (unknown error)
2019-04-10 17:06:20.516 [main-SendThread(127.0.0.1:2181)] INFO  org.apache.zookeeper.ClientCnxn - Client session timed out, have not heard from server in 167ms for sessionid 0x0, closing socket connection and attempting reconnect
2019-04-10 17:06:20.616 [main-SendThread(127.0.0.1:2182)] INFO  org.apache.zookeeper.ClientCnxn - Opening socket connection to server 127.0.0.1/127.0.0.1:2182. Will not attempt to authenticate using SASL (unknown error)
2019-04-10 17:06:20.783 [main-SendThread(127.0.0.1:2182)] INFO  org.apache.zookeeper.ClientCnxn - Client session timed out, have not heard from server in 167ms for sessionid 0x0, closing socket connection and attempting reconnect
2019-04-10 17:06:21.883 [main-SendThread(127.0.0.1:2183)] INFO  org.apache.zookeeper.ClientCnxn - Opening socket connection to server 127.0.0.1/127.0.0.1:2183. Will not attempt to authenticate using SASL (unknown error)
2019-04-10 17:06:22.049 [main-SendThread(127.0.0.1:2183)] INFO  org.apache.zookeeper.ClientCnxn - Client session timed out, have not heard from server in 1166ms for sessionid 0x0, closing socket connection and attempting reconnect
2019-04-10 17:06:22.152 [main-SendThread(127.0.0.1:2181)] INFO  org.apache.zookeeper.ClientCnxn - Opening socket connection to server 127.0.0.1/127.0.0.1:2181. Will not attempt to authenticate using SASL (unknown error)
2019-04-10 17:06:22.321 [main-SendThread(127.0.0.1:2181)] INFO  org.apache.zookeeper.ClientCnxn - Client session timed out, have not heard from server in 170ms for sessionid 0x0, closing socket connection and attempting reconnect
2019-04-10 17:06:22.421 [main-SendThread(127.0.0.1:2182)] INFO  org.apache.zookeeper.ClientCnxn - Opening socket connection to server 127.0.0.1/127.0.0.1:2182. Will not attempt to authenticate using SASL (unknown error)
